weekday,Age,Gender,Alcohol_Results,Drug_Involvement,Atmospheric_Condition,Roadway,Fatality
7,47,0,0.0,0,0,5,0
3,33,0,0.0,,0,5,1
4,53,0,,0,0,7,0
6,41,0,0.25,,5,5,1
3,32,0,0.0,2,1,3,0
3,,0,,2,0,7,0
1,,0,,0,0,8,0
5,,1,,2,0,5,0
3,68,0,,0,2,4,0
7,21,0,,0,0,3,0
4,47,1,0.0,2,0,7,0
6,29,0,0.05,2,0,12,1
5,,1,,0,0,11,0
4,45,0,,0,0,,0
3,38,1,,2,0,5,0
6,44,0,,2,0,6,0
6,,0,,0,1,2,0
3,,1,,2,0,8,0
7,,,,,0,12,0
5,53,0,,0,3,4,0
6,51,0,,2,0,7,0
2,61,0,,2,0,4,0
1,37,1,,0,0,7,0
7,56,0,,0,0,9,1
4,18,0,,2,4,6,0
4,,0,,,0,4,1
3,23,1,0.25,1,0,6,0
7,22,0,,2,2,7,0
4,43,0,0.0,1,0,9,0
1,28,1,0.0,0,2,7,0
5,,0,,2,0,7,0
4,23,0,,0,2,1,0
2,55,0,0.0,0,0,8,0
1,58,0,0.0,1,0,9,1
1,33,1,,2,2,8,0
5,24,0,,2,0,6,0
3,,1,,2,0,2,0
1,62,0,0.11,0,0,3,1
1,50,0,,2,0,4,0
6,66,0,,2,0,4,0
6,24,0,0.0,2,0,4,1
7,56,1,,2,0,8,0
5,50,1,,2,0,6,0
4,89,1,0.0,0,0,3,1
2,55,0,,,,5,0
5,22,0,,2,0,6,0
5,38,1,,0,0,7,1
6,17,0,,2,0,7,0
4,32,0,,0,3,6,0
3,39,0,,0,0,7,0
1,86,0,0.0,2,0,6,1
2,55,1,,1,0,4,0
3,,0,,2,0,6,0
7,43,0,0.11,2,5,5,1
6,16,0,,,0,11,0
6,22,1,,2,0,1,0
4,40,1,,0,0,4,0
1,32,1,,0,2,2,0
1,20,1,0.0,2,0,6,1
2,64,0,,2,3,4,0
4,55,0,,2,0,9,1
2,29,0,0.19,2,0,7,1
2,60,0,,2,0,5,0
4,22,0,0.17,,0,6,1
3,25,0,0.0,2,0,0,0
4,17,0,0.0,,0,1,0
6,22,0,0.18,0,0,6,1
5,18,0,0.15,0,0,5,1
6,43,0,,0,0,8,0
6,44,0,,2,0,7,1
1,26,0,,0,0,9,0
2,33,0,0.21,,2,6,1
6,28,0,0.0,0,0,6,1
2,26,1,,2,0,8,0
3,59,0,0.24,0,0,5,1
5,68,0,,2,0,7,0
2,,0,,2,4,4,0
2,23,0,,2,0,9,1
4,19,0,,0,2,2,0
1,,0,,2,0,2,0
7,21,0,0.25,0,2,1,1
4,29,0,0.0,,0,7,1
3,51,0,0.0,0,0,2,0
4,51,1,,2,0,11,0
5,24,0,0.1,2,0,2,1
3,52,1,0.2,2,0,6,1
3,,1,,2,2,8,0
4,27,0,0.0,,0,3,1
7,64,1,,2,0,11,0
6,40,0,0.21,0,2,3,1
2,21,0,,0,0,3,0
7,22,1,,0,2,7,0
5,18,0,,2,0,5,0
4,18,0,,0,0,8,0
5,32,0,0.2,0,5,8,1
7,,1,,2,0,1,0
4,16,1,0.17,2,0,8,1
2,19,1,,2,0,5,1
1,20,0,0.0,2,0,7,1
4,44,0,0.19,0,2,8,1
6,62,1,,2,0,0,0
2,36,0,,0,0,2,0
1,43,0,0.13,2,3,1,1
3,19,0,0.26,2,0,8,1
2,23,0,,2,0,4,0
6,28,0,0.24,,0,11,1
3,84,0,0.0,0,0,5,1
1,51,0,,,,12,1
5,20,0,0.14,0,0,1,1
1,23,1,,2,0,11,0
2,20,1,,2,1,7,0
7,,0,,2,0,9,0
3,28,1,0.0,0,0,12,0
7,77,1,0.0,0,0,7,1
6,63,0,0.0,0,0,4,0
7,28,0,0.09,2,0,10,0
4,49,1,,2,2,3,0
5,28,1,0.0,,0,4,1
2,80,1,0.0,0,3,6,1
7,45,0,,2,0,2,0
5,,1,,2,2,6,0
1,26,0,0.06,0,2,6,1
5,46,0,0.0,1,0,6,1
5,21,1,,0,0,0,0
6,54,0,0.15,0,0,12,0
3,56,0,,2,0,5,0
4,22,0,0.0,2,0,1,1
6,22,1,,2,8,2,0
7,,0,,2,0,10,0
1,37,0,,2,0,13,0
7,70,1,,2,0,0,0
7,17,1,,2,0,4,0
7,28,1,,0,3,9,0
6,18,0,,0,2,7,0
6,31,0,,2,1,6,1
1,56,1,0.0,0,0,8,1
5,,1,,2,0,3,0
6,51,0,,2,0,7,1
3,33,0,0.26,2,3,5,1
1,52,0,,0,2,2,0
6,,1,,0,0,5,1
6,77,1,0.0,0,0,11,1
6,,0,0.0,2,2,3,0
5,16,1,,2,0,11,0
7,48,0,,0,0,4,0
6,42,1,,2,0,11,0
6,68,0,,2,0,1,0
5,64,0,0.0,0,0,7,0
6,20,1,,2,2,3,1
7,,1,,2,0,8,0
2,91,1,0.0,2,3,6,1
7,33,1,,0,0,1,0
2,29,1,,2,3,11,0
2,22,1,,0,1,11,0
2,55,0,0.15,2,0,9,1
6,36,1,,0,0,11,0
3,16,1,,0,0,7,0
3,47,1,,2,0,7,0
2,17,0,,0,3,6,0
5,38,1,,2,0,2,0
1,91,1,0.0,2,0,6,1
4,27,0,,0,0,6,0
7,27,1,0.0,0,0,9,0
6,,0,,2,1,2,0
3,36,1,,2,0,6,0
5,75,1,,2,2,5,0
5,49,1,,0,0,4,0
7,28,0,0.11,2,2,11,0
6,57,1,,2,0,2,0
6,34,0,,0,0,7,0
3,56,0,,2,0,12,0
5,23,0,,0,0,9,0
2,62,0,,0,0,6,1
6,33,0,0.2,2,0,3,0
6,28,0,0.22,2,0,3,1
5,21,0,,0,0,5,0
3,45,0,,0,0,2,0
7,40,0,,0,0,4,0
3,40,0,,2,0,0,0
4,18,0,,0,0,12,0
2,27,1,,2,0,6,0
6,20,0,,0,3,11,0
6,21,0,,2,0,12,0
6,40,0,0.0,,0,11,1
5,38,0,0.0,0,0,11,0
5,54,0,0.0,1,0,5,1
5,29,1,0.14,0,0,5,0
7,21,0,0.02,1,0,2,1
4,,1,,2,0,7,0
5,,,,2,0,3,0
3,16,0,0.0,2,0,7,0
2,20,0,0.0,,0,6,0
6,19,0,0.1,2,2,3,0
4,55,1,,0,0,3,0
7,19,0,,2,2,7,0
5,21,1,,2,0,6,0
6,22,1,,0,0,12,0
6,,1,,2,0,6,0
1,49,0,0.17,0,0,1,1
2,23,0,,2,0,5,0
4,20,1,,0,2,2,0
3,44,1,0.0,2,2,4,0
7,42,0,,2,0,7,0
5,53,0,,0,2,2,0
7,22,0,,2,2,7,0
3,17,1,,2,0,2,0
5,62,0,,2,0,8,0
6,86,0,0.0,2,0,,1
1,60,1,,2,0,7,0
5,,0,,0,0,5,0
5,20,1,,,0,6,1
7,49,0,0.21,2,2,5,1
1,93,0,0.0,0,0,6,1
6,64,0,0.0,2,0,5,1
5,65,0,,0,0,7,0
4,18,1,0.0,,0,2,1
7,59,1,,2,0,8,0
1,24,1,0.0,2,0,6,0
2,56,0,0.06,,0,7,1
3,63,0,0.0,0,0,5,1
6,74,1,0.0,0,0,5,0
1,28,0,,2,0,8,1
5,50,0,0.0,,2,7,0
2,53,0,0.13,0,0,4,1
6,,0,,2,0,0,0
3,36,1,0.0,1,0,7,0
7,40,1,,0,2,6,0
1,56,0,,0,2,11,0
5,58,0,0.0,,2,7,1
7,23,0,,0,3,7,0
5,62,1,,0,0,8,0
1,36,0,,2,3,5,0
3,57,1,0.0,,2,12,1
6,45,0,,2,0,7,0
6,57,1,0.0,0,5,7,0
6,29,1,,2,0,4,0
7,18,0,,0,0,6,0
3,22,0,,2,2,9,0
5,20,0,0.0,2,2,8,0
5,22,1,,2,0,8,0
4,65,0,0.0,0,0,2,0
6,33,0,,2,0,12,0
2,38,0,0.27,2,5,6,1
6,51,0,,0,0,2,0
2,53,0,0.0,0,2,11,0
6,56,0,,0,0,11,0
5,,0,0.0,,0,9,1
7,,0,,2,0,6,0
2,,1,,2,0,3,0
5,25,1,,2,5,11,0
6,,1,,2,0,6,0
5,57,0,0.0,0,0,6,1
7,,0,0.0,0,0,9,1
4,41,1,,2,0,4,0
7,48,0,0.31,2,0,3,0
7,19,0,,0,0,0,0
6,55,0,0.14,0,0,6,0
5,60,1,,2,0,0,0
2,,,,2,2,9,0
3,73,0,,2,2,7,0
5,23,1,,2,0,12,0
4,,1,,2,2,9,0
1,67,0,0.0,0,0,7,1
3,51,0,0.07,0,0,6,1
4,28,0,0.0,1,0,2,1
5,41,0,0.18,2,0,6,0
3,46,0,,0,0,2,0
1,57,1,0.0,0,0,9,1
4,28,1,,2,5,4,0
2,86,1,0.0,0,0,3,1
2,45,0,0.0,0,0,11,0
6,23,0,0.14,,2,3,1
3,,1,,2,0,6,0
3,23,0,,0,0,4,0
1,20,0,,2,0,3,0
7,17,1,,2,0,,0
6,,0,,2,0,6,0
7,43,1,,2,0,2,0
7,55,0,0.0,,0,8,1
5,,0,,2,3,3,0
2,36,1,,2,2,11,0
7,40,0,0.15,,2,6,1
7,16,0,,,0,7,0
6,22,0,0.21,2,0,5,1
3,58,0,,0,0,7,0
1,80,0,,0,0,7,1
3,33,0,,2,0,7,0
2,,1,,0,7,8,0
5,44,0,,0,0,5,0
4,,1,,2,0,9,0
2,61,0,0.0,2,0,11,0
6,26,0,,2,0,1,0
1,50,0,,0,0,0,0
3,20,0,0.0,1,0,8,1
1,,1,,2,3,4,0
1,17,1,,2,0,6,0
3,24,0,,0,0,6,0
7,21,0,0.0,0,2,6,0
2,31,0,0.0,2,0,4,1
2,43,0,,2,0,0,0
1,57,0,,2,0,4,0
6,41,1,0.11,0,0,12,0
6,23,1,,2,0,9,0
6,26,0,,2,0,11,0
5,67,0,,2,0,6,0
5,54,0,0.0,0,0,8,0
7,22,0,,2,0,3,0
6,64,1,,2,0,6,0
5,83,1,0.0,2,0,1,1
3,38,0,0.0,0,3,8,0
6,23,0,,2,2,2,0
5,21,0,0.22,0,0,9,1
6,27,0,0.18,2,0,6,1
2,39,0,,,3,5,1
7,36,0,0.18,2,0,8,1
3,26,0,,2,0,6,0
6,,1,,0,0,7,0
4,22,0,0.0,,0,4,0
3,38,0,,0,5,4,1
4,51,0,0.0,2,0,6,0
6,61,0,0.0,,5,8,1
7,30,1,,2,2,11,0
4,30,0,0.21,2,0,11,1
5,19,0,,0,0,9,0
1,53,0,,0,5,8,0
1,,1,,2,0,6,0
2,31,0,0.0,2,0,4,1
4,26,0,,0,5,2,0
3,62,1,,2,3,7,0
2,76,0,0.0,,0,8,1
1,55,0,,2,0,9,0
7,29,0,,2,1,1,0
1,52,0,0.0,,0,4,1
3,20,0,0.0,,0,5,1
6,22,0,,2,5,7,0
7,19,0,0.1,2,0,6,1
4,23,1,,2,0,6,0
5,20,0,,,0,6,0
5,26,0,0.26,0,2,4,1
6,27,0,0.14,,0,11,1
1,,,,,0,9,0
7,42,0,0.0,2,0,6,0
1,,0,,2,0,4,0
1,58,0,0.0,0,0,7,0
6,27,1,0.33,0,0,11,1
2,19,0,,2,0,11,0
6,18,0,,2,0,5,0
1,36,1,0.15,1,0,7,0
7,37,1,0.01,2,0,9,1
5,73,0,,2,0,9,0
6,,0,,2,0,8,0
4,50,0,0.36,,0,6,1
4,53,0,,2,3,7,0
1,33,0,,2,0,6,0
2,48,1,,2,0,4,0
6,27,0,0.0,0,2,5,0
5,77,0,0.0,0,3,4,1
5,65,0,,2,0,3,0
2,30,0,0.0,,2,4,1
6,49,0,,0,3,7,0
6,72,0,0.0,,2,6,1
6,25,0,0.17,2,0,12,0
2,31,0,0.29,1,3,5,0
4,20,0,0.0,2,0,6,1
6,55,1,,2,0,5,0
6,31,1,0.0,0,0,5,0
1,22,0,0.0,2,0,1,0
7,,1,,2,0,0,0
7,,0,,2,0,3,0
7,43,0,,2,0,6,0
1,63,0,0.0,,2,4,1
1,64,1,0.0,0,0,2,1
7,49,0,,0,0,1,0
1,32,0,0.0,0,0,8,0
2,37,0,0.0,2,2,9,1
3,,0,,0,2,5,0
7,60,0,0.0,1,0,4,0
7,40,0,,0,0,2,0
7,49,0,0.0,,0,7,1
7,20,0,0.04,0,3,5,0
5,44,1,0.0,0,0,4,0
6,22,0,0.0,2,0,0,1
5,26,0,,2,0,7,0
4,33,1,0.09,1,0,5,0
6,35,1,,2,0,3,0
6,26,0,,2,0,8,1
3,27,1,0.16,,0,0,1
7,61,0,,2,0,11,0
6,,0,,2,0,7,0
4,50,0,0.32,2,0,7,1
3,49,0,,2,0,7,0
1,25,1,,2,0,1,1
1,20,0,,0,0,6,0
6,,,,2,0,8,0
6,79,1,,2,0,5,0
5,40,0,,2,0,0,0
7,37,1,0.2,1,0,4,1
3,27,1,,2,0,11,0
7,50,0,,2,2,9,1
7,43,0,0.21,,0,3,1
6,21,0,,2,0,5,0
1,18,0,,0,0,6,1
2,27,1,,2,0,7,0
6,38,1,,2,3,7,0
4,20,1,0.0,0,0,9,0
2,53,0,0.0,2,0,7,0
4,21,1,,0,0,4,0
1,49,0,,2,5,3,0
7,,0,,0,1,5,0
2,46,0,,0,0,11,0
7,83,0,,0,0,6,0
7,19,1,,2,0,6,0
7,34,1,,2,0,3,0
4,19,1,,2,0,4,0
7,57,0,,2,2,9,0
7,20,0,,2,0,6,0
3,37,1,,2,0,7,0
6,20,1,,0,0,4,0
5,21,0,0.35,2,0,8,1
7,51,1,,0,0,11,0
2,21,0,,2,0,8,0
4,54,0,0.0,2,0,7,0
1,19,1,,2,0,0,0
6,29,0,0.13,2,2,7,1
2,30,0,0.23,2,0,5,1
1,47,1,0.05,2,0,3,1
6,59,0,,0,2,6,0
6,69,0,,0,0,6,0
4,31,0,0.2,,0,4,1
6,,1,,2,2,3,0
6,61,0,0.24,,0,5,1
7,36,0,0.24,0,0,5,1
2,38,0,,2,0,10,0
6,20,0,,2,0,5,0
2,63,0,0.0,0,0,5,1
6,16,1,0.05,1,0,7,1
5,21,1,,2,0,7,0
6,19,0,0.08,0,0,5,0
6,20,0,,2,0,6,0
3,68,0,0.0,2,2,7,0
2,,1,,2,0,6,0
5,18,0,0.0,,0,3,1
5,30,0,0.06,0,0,0,0
5,58,0,0.0,0,0,8,0
3,49,0,0.0,0,2,7,0
6,22,0,0.14,0,2,3,1
3,54,0,,2,1,11,0
7,17,0,,2,0,6,0
4,34,0,0.0,,0,7,1
7,49,0,,0,2,11,0
5,41,0,0.01,2,2,1,1
5,64,1,,0,0,8,0
1,,1,,2,3,7,0
1,46,0,0.0,0,0,11,0
2,54,0,,2,0,11,0
7,18,1,0.18,,0,9,1
5,24,1,,2,0,6,0
4,58,0,0.21,0,2,6,1
2,51,0,0.11,0,0,9,1
3,57,0,0.21,0,0,0,1
5,70,0,0.0,,0,8,1
6,58,1,,2,0,5,0
3,50,0,0.16,0,2,7,1
5,,1,,2,0,2,0
6,61,1,,0,0,6,0
1,34,0,0.18,,3,7,1
3,21,0,0.13,2,0,9,1
6,60,0,0.0,1,2,6,0
1,30,0,0.0,1,0,9,1
4,31,0,0.0,2,0,12,1
6,27,0,,2,0,6,0
3,30,1,,2,0,8,0
6,,1,,2,0,2,0
6,25,0,,2,0,4,0
4,45,1,,0,5,2,0
3,40,0,0.18,,0,8,1
2,22,0,0.11,0,0,3,0
2,81,1,,2,3,3,0
3,59,0,0.0,2,0,3,1
3,46,0,,0,0,7,0
4,,0,,2,0,6,0
7,25,0,,2,0,2,0
6,37,0,0.11,2,2,5,1
6,17,0,,2,0,2,0
6,62,0,0.11,2,2,5,1
1,40,1,,2,0,11,0
5,,0,,2,0,11,0
5,79,0,0.0,0,0,4,1
4,43,0,0.0,0,0,8,0
2,79,0,0.0,,,5,1
6,33,0,0.09,2,0,3,1
2,33,1,,2,0,6,0
2,20,0,,2,2,3,0
7,21,1,,2,4,2,0
1,64,0,0.28,2,0,4,1
7,26,0,0.0,0,0,12,0
6,,0,,2,0,6,0
4,26,1,,,0,3,1
1,51,0,,2,0,3,0
3,31,0,,2,2,12,1
7,45,1,0.0,2,0,5,1
5,,0,,2,0,4,0
2,61,1,,2,0,8,0
5,49,1,0.0,2,2,3,0
6,71,1,0.0,2,2,13,1
7,,1,,2,0,2,0
2,30,0,0.18,1,2,3,1
4,34,0,,2,0,3,0
6,50,1,,2,0,4,0
1,51,0,,2,0,0,0
4,39,0,0.0,1,2,3,1
5,18,0,0.0,0,3,7,0
1,66,0,0.0,2,2,7,0
6,85,0,,0,0,7,0
6,31,1,,2,5,3,0
6,19,0,0.0,,0,5,1
6,27,1,,2,0,7,0
3,19,0,,0,0,5,0
6,37,1,,2,0,6,0
2,80,1,,,1,5,1
4,20,1,0.13,2,0,11,1
1,47,0,,2,0,8,0
4,38,0,,0,2,4,0
3,30,0,,0,0,11,0
5,49,0,0.0,2,2,1,1
4,24,0,0.0,,0,6,1
3,69,1,,0,0,2,0
3,37,0,0.13,2,0,12,1
3,40,0,0.25,2,2,9,0
2,50,0,0.19,0,0,6,1
3,84,1,,2,2,5,0
6,46,0,,2,0,0,0
5,75,0,,2,0,3,0
1,26,1,,0,2,6,0
4,56,1,,0,0,9,0
3,29,0,0.0,1,2,9,1
1,22,0,,2,0,7,0
2,21,0,0.18,0,2,8,1
4,42,0,,2,0,3,0
6,52,1,,2,0,2,0
4,35,0,,2,0,5,0
3,35,0,,0,0,11,0
2,34,0,,2,3,6,0
5,28,0,0.17,1,0,8,1
5,56,0,,2,1,7,0
7,38,0,,0,0,11,0
4,,0,,2,0,5,0
1,,0,,2,0,11,0
2,23,1,,2,0,7,0
3,,0,,2,0,4,0
3,46,0,0.0,,3,6,1
3,19,0,,2,0,7,0
7,66,0,,0,0,11,0
7,21,1,,0,2,6,0
4,68,0,0.0,2,0,5,1
7,,1,,2,0,12,0
5,17,1,,0,0,1,0
5,33,1,,,0,8,1
3,51,0,,2,0,9,0
1,68,1,,2,0,9,0
2,44,1,,0,0,6,0
2,76,1,0.0,0,0,3,0
5,,1,,,7,7,0
7,25,0,,2,0,4,0
7,43,1,0.0,2,0,2,1
2,60,1,0.0,0,3,6,1
6,,1,,2,3,7,0
3,25,1,,0,2,6,0
1,38,0,0.0,1,0,6,1
2,67,0,,0,0,8,0
5,45,0,,0,2,0,0
7,,1,,2,0,6,0
4,54,0,,2,3,7,0
4,85,0,0.0,0,3,7,1
6,25,0,0.24,2,2,12,1
5,34,0,,0,0,1,0
1,47,0,,0,0,2,0
6,56,0,0.0,,1,7,1
2,57,1,,0,0,11,0
4,50,1,0.0,0,0,7,0
6,16,0,,2,0,11,0
4,23,0,,0,5,0,0
7,43,0,,2,2,5,0
6,53,0,,2,0,11,0
4,50,0,,2,0,10,0
2,54,0,,0,0,5,0
4,40,0,,0,0,7,0
5,27,0,0.0,2,0,6,0
4,21,0,0.0,0,2,12,0
1,33,0,0.29,,0,4,1
4,30,0,,0,3,3,0
1,56,1,,0,0,6,0
2,57,0,,2,2,11,0
5,17,0,0.0,0,0,3,0
6,45,0,,,0,7,1
2,,0,,2,0,8,0
5,21,1,,0,0,5,1
4,42,0,,2,0,11,0
3,62,0,0.0,0,0,6,0
6,,1,,2,0,7,0
5,62,1,0.0,,0,11,1
4,43,0,0.17,2,,8,1
5,74,1,0.0,2,0,8,1
7,30,0,0.23,0,0,11,1
1,,,,2,2,7,0
7,29,1,0.0,0,0,6,0
3,28,0,,0,0,7,0
3,19,1,,,3,0,1
3,69,1,,2,0,8,0
4,,1,,2,3,7,0
6,51,1,,2,1,11,0
2,43,1,0.16,1,0,6,1
3,,1,,2,0,9,0
5,22,0,0.13,2,0,3,0
4,28,0,0.0,2,0,8,0
4,67,0,,0,0,11,0
4,38,1,0.24,2,3,5,1
3,,0,,0,0,2,0
3,50,0,,2,0,0,0
5,57,0,0.0,0,0,4,0
5,21,1,,2,2,8,0
5,34,1,0.17,,0,4,1
4,47,0,0.0,0,2,8,1
3,17,0,,2,0,0,0
5,23,1,,2,8,2,0
6,,0,,0,0,8,0
3,24,0,0.02,2,0,9,0
3,45,0,0.11,2,0,11,1
1,19,0,,2,0,9,0
5,20,0,0.04,,0,6,1
5,,1,,0,0,7,0
6,36,1,0.14,0,2,8,0
7,79,0,,2,0,8,0
5,30,0,,2,2,8,0
7,26,0,,0,2,7,0
3,50,0,,2,0,11,0
5,16,0,0.0,0,0,7,0
6,59,0,,2,2,11,0
1,40,0,,0,0,9,0
3,38,0,,0,3,5,1
2,,0,,0,0,6,0
5,44,0,,2,0,9,1
3,38,0,,2,0,5,0
4,52,1,0.0,,2,4,0
5,61,1,,2,0,5,0
6,22,0,0.17,2,0,4,1
6,,0,,0,0,1,0
7,36,0,,0,0,7,0
6,58,0,,0,0,11,0
2,56,1,,2,0,5,1
6,62,1,,2,0,9,0
1,79,0,0.0,0,0,4,0
7,27,0,0.07,,0,5,1
5,33,0,0.0,0,3,5,0
6,51,0,,2,0,7,0
2,63,1,,0,3,11,0
5,33,1,,2,0,11,0
3,19,0,0.15,0,0,11,1
3,23,0,0.0,,0,2,1
6,43,0,0.17,2,2,11,1
5,34,0,,,0,12,0
5,63,1,0.0,2,0,6,0
7,46,0,,0,0,5,0
7,47,0,0.24,2,2,3,1
6,19,1,,2,3,8,1
5,57,0,0.12,1,0,8,1
5,,0,,2,0,7,0
7,25,1,,0,3,7,0
2,71,0,0.0,2,0,6,0
5,51,1,0.12,2,0,6,1
6,23,1,,2,0,6,0
4,22,0,,0,0,8,0
5,63,1,0.0,0,0,9,0
5,41,0,0.0,0,3,6,0
7,27,0,0.28,2,,3,1
7,29,0,,2,2,0,0
6,,1,,2,0,11,0
4,57,0,,0,0,7,0
4,46,0,0.12,0,0,8,0
1,,0,0.0,2,2,3,1
6,61,0,,0,0,7,0
7,18,1,,,0,11,0
6,56,0,0.16,,3,4,1
6,41,1,0.0,0,0,6,0
7,32,0,,2,0,5,0
2,47,0,,2,0,8,0
5,73,1,0.0,0,2,8,1
3,91,1,0.0,0,0,9,1
6,47,1,,2,0,7,0
5,24,0,0.0,2,3,1,1
5,89,0,,2,0,6,0
4,31,0,,2,0,7,0
1,31,0,,2,0,9,0
7,75,0,,0,0,5,0
7,41,0,0.22,0,0,5,1
3,40,0,,0,0,7,0
5,26,0,0.08,2,0,0,1
7,52,0,0.0,0,0,9,1
2,49,0,0.0,0,0,3,1
6,,1,,0,2,7,0
7,19,1,0.0,2,0,2,1
7,29,0,,2,0,9,0
3,20,0,0.0,2,3,5,0
6,24,0,0.13,2,0,11,0
1,,1,,2,0,8,0
7,20,1,0.0,1,3,9,1
2,48,1,,0,2,0,0
3,31,0,,2,0,11,0
7,44,1,,2,0,9,0
1,46,1,,2,4,9,0
4,38,0,0.22,2,0,3,1
2,25,1,,2,2,3,0
5,27,0,,2,0,11,0
7,23,0,,2,3,11,0
4,21,1,,0,3,11,0
4,26,1,,2,2,9,0
3,25,1,,,0,3,1
2,,0,,0,0,6,0
3,18,0,,2,2,2,0
2,,0,,2,0,7,0
3,,0,,2,0,7,0
2,36,1,,2,0,6,0
4,32,0,0.0,,2,6,1
5,51,1,,2,0,3,0
6,36,1,0.0,2,0,7,1
7,67,0,0.0,0,4,2,0
6,29,0,0.2,,0,5,1
6,49,1,,2,0,5,0
2,54,1,,2,0,11,0
7,68,1,0.0,2,0,9,1
2,47,0,0.06,1,0,8,1
5,23,0,,0,0,6,1
2,54,0,0.31,2,0,6,1
6,34,1,0.0,,0,8,0
7,22,0,0.18,1,0,9,1
3,54,1,0.33,2,0,6,1
7,21,0,,0,2,9,0
7,40,1,,0,0,8,0
1,,0,,2,0,9,0
5,46,1,,0,2,8,0
7,,0,,2,0,6,0
5,,1,,,0,4,0
2,20,1,,0,0,7,0
1,45,0,,0,0,7,0
1,29,0,0.19,,2,3,0
2,78,1,0.0,2,0,7,1
1,,1,,2,0,2,0
2,74,0,,0,0,6,0
4,,0,,2,2,12,0
1,58,0,0.14,0,3,2,1
